Date,Open,High,Low,Close,Volume
2012-01-04,316.0,316.0,310.0,312.0,44406000.0
2012-01-05,313.0,314.0,311.0,312.0,12772000.0
2012-01-06,312.0,314.0,306.0,310.0,23183000.0
2012-01-10,310.0,311.0,307.0,311.0,15318000.0
2012-01-11,313.0,317.0,312.0,314.0,26101000.0
2012-01-12,313.0,316.0,311.0,312.0,20719000.0
2012-01-13,314.0,316.0,311.0,313.0,15198000.0
2012-01-16,309.0,310.0,304.0,305.0,18592000.0
2012-01-17,306.0,306.0,301.0,304.0,17618000.0
2012-01-18,302.0,309.0,301.0,307.0,25339000.0
2012-01-19,311.0,318.0,310.0,318.0,36414000.0
2012-01-20,324.0,328.0,321.0,327.0,50270000.0
2012-01-23,333.0,341.0,333.0,341.0,47088000.0
2012-01-24,340.0,341.0,336.0,338.0,21706000.0
2012-01-25,342.0,347.0,338.0,344.0,41994000.0
2012-01-26,340.0,341.0,337.0,340.0,30735000.0
2012-01-27,337.0,337.0,330.0,330.0,29982000.0
2012-01-30,331.0,331.0,326.0,329.0,22135000.0
2012-01-31,321.0,323.0,316.0,323.0,45953000.0
2012-02-01,310.0,327.0,310.0,319.0,52534000.0
2012-02-02,316.0,322.0,316.0,319.0,19990000.0
2012-02-03,320.0,322.0,317.0,317.0,23359000.0
2012-02-06,325.0,325.0,315.0,317.0,23154000.0
2012-02-07,316.0,320.0,316.0,319.0,14946000.0
2012-02-08,321.0,325.0,317.0,324.0,28522000.0
2012-02-09,324.0,332.0,323.0,331.0,43286000.0
2012-02-10,336.0,341.0,334.0,336.0,43427000.0
2012-02-13,335.0,341.0,334.0,336.0,33415000.0
2012-02-14,334.0,337.0,331.0,333.0,18898000.0
2012-02-15,336.0,342.0,335.0,339.0,37546000.0
2012-02-16,336.0,340.0,334.0,335.0,28759000.0
2012-02-17,340.0,342.0,337.0,339.0,36929000.0
2012-02-20,347.0,352.0,346.0,347.0,43664000.0
2012-02-21,348.0,349.0,340.0,342.0,30671000.0
2012-02-22,338.0,342.0,334.0,341.0,33273000.0
2012-02-23,344.0,345.0,338.0,343.0,34177000.0
2012-02-24,346.0,351.0,342.0,347.0,43669000.0
2012-02-27,354.0,361.0,349.0,350.0,53456000.0
2012-02-28,345.0,352.0,344.0,351.0,37842000.0
2012-02-29,357.0,365.0,354.0,356.0,57490000.0
2012-03-01,362.0,363.0,351.0,354.0,28714000.0
2012-03-02,357.0,360.0,354.0,357.0,25696000.0
2012-03-05,355.0,359.0,350.0,352.0,22518000.0
2012-03-06,355.0,359.0,350.0,352.0,0.0
2012-03-07,335.0,341.0,334.0,339.0,39719000.0
2012-03-08,344.0,348.0,343.0,345.0,32077000.0
2012-03-09,350.0,352.0,346.0,349.0,56284000.0
2012-03-12,354.0,354.0,348.0,349.0,34466000.0
2012-03-13,348.0,352.0,346.0,346.0,32416000.0
2012-03-14,353.0,361.0,350.0,360.0,49286000.0
2012-03-15,364.0,368.0,362.0,365.0,46249000.0
2012-03-16,366.0,380.0,366.0,379.0,65061000.0
2012-03-19,381.0,383.0,377.0,378.0,33124000.0
2012-03-21,382.0,383.0,373.0,375.0,37535000.0
2012-03-22,372.0,379.0,372.0,378.0,28146000.0
2012-03-23,371.0,373.0,367.0,368.0,32506000.0
2012-03-26,371.0,372.0,366.0,369.0,23188000.0
2012-03-27,371.0,372.0,366.0,369.0,0.0
2012-03-28,375.0,381.0,370.0,375.0,47491000.0
2012-03-29,372.0,374.0,368.0,371.0,28922000.0
2012-03-30,370.0,370.0,360.0,364.0,38804000.0
2012-04-02,368.0,370.0,363.0,363.0,37701000.0
2012-04-03,365.0,367.0,358.0,359.0,32857000.0
2012-04-04,357.0,358.0,347.0,347.0,51222000.0
2012-04-05,344.0,357.0,343.0,353.0,69684000.0
2012-04-06,354.0,358.0,347.0,349.0,46665000.0
2012-04-09,344.0,347.0,343.0,343.0,22632000.0
2012-04-10,346.0,352.0,342.0,343.0,29093000.0
2012-04-11,338.0,340.0,336.0,338.0,27406000.0
2012-04-12,340.0,341.0,335.0,338.0,20058000.0
2012-04-13,340.0,341.0,335.0,338.0,0.0
2012-04-16,338.0,339.0,333.0,333.0,16551000.0
2012-04-17,336.0,339.0,333.0,333.0,20111000.0
2012-04-18,340.0,346.0,339.0,342.0,19920000.0
2012-04-19,341.0,343.0,336.0,338.0,19464000.0
2012-04-20,332.0,332.0,323.0,330.0,39331000.0
2012-04-23,333.0,333.0,326.0,327.0,22879000.0
2012-04-24,324.0,331.0,323.0,330.0,31556000.0
2012-04-25,334.0,335.0,326.0,328.0,24077000.0
2012-04-26,330.0,330.0,326.0,328.0,19913000.0
2012-04-27,330.0,335.0,326.0,329.0,43799000.0
2012-05-01,326.0,327.0,316.0,317.0,25091000.0
2012-05-02,319.0,321.0,317.0,318.0,18199000.0
2012-05-07,310.0,314.0,305.0,308.0,24216000.0
2012-05-08,317.0,320.0,314.0,317.0,33611000.0
2012-05-09,314.0,323.0,313.0,320.0,37848000.0
2012-05-10,318.0,322.0,316.0,318.0,28434000.0
