,0,1
1262,2019-10-03 17:01:07," {""date"": ""20191003"", ""time"": ""170005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1263,2019-10-03 17:01:07," {""date"": ""20191003"", ""time"": ""170009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.16""}"
1264,2019-10-03 17:01:08," {""date"": ""20191003"", ""time"": ""170107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01033739""}"
1266,2019-10-03 17:31:11," {""date"": ""20191003"", ""time"": ""173006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1267,2019-10-03 17:31:12," {""date"": ""20191003"", ""time"": ""173010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.92""}"
1268,2019-10-03 17:31:12," {""date"": ""20191003"", ""time"": ""173107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01471519""}"
1270,2019-10-03 18:01:06," {""date"": ""20191003"", ""time"": ""180004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.445}"
1271,2019-10-03 18:01:06," {""date"": ""20191003"", ""time"": ""180008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.75""}"
1272,2019-10-03 18:01:06," {""date"": ""20191003"", ""time"": ""180106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01209499""}"
1274,2019-10-03 18:31:05," {""date"": ""20191003"", ""time"": ""183003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.945}"
1275,2019-10-03 18:31:05," {""date"": ""20191003"", ""time"": ""183007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.89""}"
1276,2019-10-03 18:31:06," {""date"": ""20191003"", ""time"": ""183105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01310059""}"
1278,2019-10-03 19:01:05," {""date"": ""20191003"", ""time"": ""190003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1279,2019-10-03 19:01:05," {""date"": ""20191003"", ""time"": ""190007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.88""}"
1280,2019-10-03 19:01:05," {""date"": ""20191003"", ""time"": ""190105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01510247""}"
1282,2019-10-03 19:31:09," {""date"": ""20191003"", ""time"": ""193007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1283,2019-10-03 19:31:09," {""date"": ""20191003"", ""time"": ""193011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.85""}"
1284,2019-10-03 19:31:09," {""date"": ""20191003"", ""time"": ""193109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01445866""}"
1286,2019-10-03 20:01:08," {""date"": ""20191003"", ""time"": ""200006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1287,2019-10-03 20:01:09," {""date"": ""20191003"", ""time"": ""200010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.85""}"
1288,2019-10-03 20:01:09," {""date"": ""20191003"", ""time"": ""200108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.05373103""}"
1290,2019-10-03 20:31:08," {""date"": ""20191003"", ""time"": ""203006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1291,2019-10-03 20:31:08," {""date"": ""20191003"", ""time"": ""203011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.88""}"
1292,2019-10-03 20:31:08," {""date"": ""20191003"", ""time"": ""203108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.06855819""}"
1294,2019-10-03 21:01:09," {""date"": ""20191003"", ""time"": ""210007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.445}"
1295,2019-10-03 21:01:09," {""date"": ""20191003"", ""time"": ""210011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.84""}"
1296,2019-10-03 21:01:09," {""date"": ""20191003"", ""time"": ""210109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03108328""}"
1298,2019-10-03 21:31:09," {""date"": ""20191003"", ""time"": ""213007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.007}"
1299,2019-10-03 21:31:09," {""date"": ""20191003"", ""time"": ""213011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.88""}"
1300,2019-10-03 21:31:09," {""date"": ""20191003"", ""time"": ""213109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02000971""}"
1302,2019-10-03 22:01:09," {""date"": ""20191003"", ""time"": ""220007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1303,2019-10-03 22:01:09," {""date"": ""20191003"", ""time"": ""220011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.05""}"
1304,2019-10-03 22:01:09," {""date"": ""20191003"", ""time"": ""220109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01940487""}"
1306,2019-10-03 22:31:08," {""date"": ""20191003"", ""time"": ""223006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1307,2019-10-03 22:31:08," {""date"": ""20191003"", ""time"": ""223010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.90""}"
1308,2019-10-03 22:31:08," {""date"": ""20191003"", ""time"": ""223108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01942724""}"
1310,2019-10-03 23:01:07," {""date"": ""20191003"", ""time"": ""230005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1311,2019-10-03 23:01:07," {""date"": ""20191003"", ""time"": ""230009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.04""}"
1312,2019-10-03 23:01:07," {""date"": ""20191003"", ""time"": ""230107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02091162""}"
1314,2019-10-03 23:31:06," {""date"": ""20191003"", ""time"": ""233004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1315,2019-10-03 23:31:06," {""date"": ""20191003"", ""time"": ""233008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.03""}"
1316,2019-10-03 23:31:06," {""date"": ""20191003"", ""time"": ""233106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01395586""}"
1318,2019-10-04 00:01:05," {""date"": ""20191004"", ""time"": ""000004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.382}"
1319,2019-10-04 00:01:05," {""date"": ""20191004"", ""time"": ""000008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.95""}"
1320,2019-10-04 00:01:05," {""date"": ""20191004"", ""time"": ""000105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01148131""}"
1322,2019-10-04 00:31:10," {""date"": ""20191004"", ""time"": ""003008"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1323,2019-10-04 00:31:10," {""date"": ""20191004"", ""time"": ""003012"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.10""}"
1324,2019-10-04 00:31:11," {""date"": ""20191004"", ""time"": ""003109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.0095718""}"
1326,2019-10-04 01:01:09," {""date"": ""20191004"", ""time"": ""010006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1327,2019-10-04 01:01:09," {""date"": ""20191004"", ""time"": ""010010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.25""}"
1328,2019-10-04 01:01:09," {""date"": ""20191004"", ""time"": ""010108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00912799""}"
1330,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1331,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.18""}"
1332,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00924335""}"
1334,2019-10-04 02:01:07," {""date"": ""20191004"", ""time"": ""020005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1336,2019-10-04 02:01:13," {""date"": ""20191004"", ""time"": ""020107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00958497""}"
